*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
2        12     244.536   257.907    269.99   1.41239   1.28391   1.48939   95.2184   37.1991   14.8678   241.122   249.247   254.921   261.756   265.753   274.909
2        13     240.349   253.739   266.207   1.52075   1.41111   1.35607   151.771   70.8942   4.87969   236.217   245.115   249.629   257.237   263.814   270.262
2        14     249.392   262.821   275.399   1.54546   1.47319   1.38198   141.043    176.39   18.4906   245.315   252.536   256.663    266.98   272.267   278.457
2        15     232.547   245.814   258.281   1.43971   1.36123   1.37643   77.1604   55.2545   14.0123   228.413   237.827   241.567   250.981   254.205   260.782
3         0     407.732   429.812   451.322   2.29918   2.43515   2.21045    77.651   107.753   23.9743   401.556   414.453   422.106   437.129   446.625   455.837
3         1     396.637   418.919   439.945   2.08471   2.03147   2.15782   127.633   87.4786   13.0009   391.973   402.461   413.657   424.995   435.341   447.671
3         2     424.728   447.196   468.166    2.2113   2.11446   2.10006   93.4075   56.2763   27.7868   419.548   430.603   442.649   453.137   463.483   474.254
3         3      382.02   404.491   425.368   2.15595    2.0308   2.37548   157.867   97.9544   16.5107   377.257   389.162   399.649   410.562   421.192   429.979
3         4     412.801   434.739   455.575   1.82842   1.96777   2.10936   15.0124   121.167   33.0796    410.07   418.142   429.693   439.992   450.569   461.285
3         5     414.996   437.028   458.478   2.10698   2.21012   1.99371   140.642   229.285   1.47875   409.768    420.54   430.177   443.216   454.696   463.057
3         6     404.382   426.527   448.075   2.09273   2.12638   2.07046   120.828   134.324   10.7179   399.619   410.957   421.019   432.499   444.688   452.057
3         7     450.309   472.969   494.028   2.22987   2.04926   2.19695   164.014   92.5988   21.5474   444.965    456.87   468.492   478.129   489.042   500.805
3         8     422.703   445.065   466.373   2.00346   2.08538   1.82739   69.3297   40.3533   23.3149   419.091   430.287   441.342   453.105   463.168   472.238
3         9     425.642   447.776   469.282   1.90834   2.09348    1.7335   53.7456   103.997   29.8648   421.823   431.177   442.515   453.287     465.9   474.546
3        10     423.349   445.738    466.66   1.94089    1.9903   1.92056   41.2065   70.2239    28.707     419.8   430.004     441.2    452.68   462.318    473.23
3        11       403.2   424.962   445.498    1.9355    1.9337    1.9077   59.2052   61.3483   11.2875   399.863   408.792   421.405   431.043   441.531   451.026
3        12     412.864   435.143   456.092   1.86053   1.98707   2.13501   28.2866   54.6056   10.2468   409.524   418.169   431.208   442.263   451.617   463.097
3        13     414.336   436.567   457.741   1.98612   1.98764   2.16487   90.4701   54.3286   9.70044   410.123    418.91   431.949   440.736   453.633   461.144
3        14     390.839   412.546   433.048   2.14326   2.12531   2.37086   35.8779   49.4253   8.01958   386.611   396.674   408.012   418.358   428.846   438.483
3        15     404.744   426.857   448.193   2.33409   2.15939   2.17958   139.672   52.3919   8.94026   399.422   409.485   421.815   432.302   444.774   452.995
