*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
2        12     227.208   240.726   253.269   1.32676   1.21631   1.18942   422.368   151.004    11.809   224.352   232.016   238.148   245.254   251.107   259.329
2        13     220.224   233.729   246.319    1.3307   1.23259   1.14992   362.059   174.206   28.7108   217.188   224.016   231.402   237.951   244.361   251.189
2        14     250.281   263.543   275.829     1.335   1.17446   1.13364   378.781   170.207   7.13374   247.147   254.393   260.803    267.91   274.041    280.73
2        15     209.164   222.682    235.35   1.35991      1.23   1.11698   252.856   124.212   9.47172   206.418   213.803   219.795   227.181    233.73    240.28
3         0     395.985   417.952   438.875    1.7773   1.76555   1.59441   168.142   51.0735   20.6876   393.073   401.852   414.672    423.73   436.132   446.444
3         1     391.093   413.273   433.885     1.969   1.74871   1.88763   359.353   126.613   73.6298   387.491   396.131   410.345   418.845   430.411    441.28
3         2     389.719   412.303   432.994   1.90055   1.61841   1.93667   302.473   25.1491   111.727   386.393   395.033   409.804   416.771   429.452   439.485
3         3     378.159   400.217     421.2   1.73405   1.78947   1.87499   208.558   132.524   47.9554   375.647   385.541   396.968   408.255   418.288   427.624
3         4     374.006    396.17   416.932   1.94566   1.71768   1.73846    362.38   118.965   43.5952   370.073    379.27   392.509   402.681   413.829    424.28
3         5     387.929    409.81     430.6   1.89753   1.93242   1.81536   197.262   174.257   63.2294   385.073   394.828   405.976   416.845   427.296   437.051
3         6     401.262   423.453   444.509   1.99508   1.80725   1.69152   559.959   117.457   10.8344   397.352   407.525   419.787   429.124   441.944   451.559
3         7     395.755   417.981   439.112   1.84084   1.89521   1.87575   117.067    182.84   30.7737   392.647   401.984   413.968   424.419   435.985   446.018
3         8      393.04     415.1   436.017   2.08541   1.98027   2.01751   22.6388   40.8942   20.9039   389.631    398.41   412.484   421.402   432.829   444.813
3         9     387.499   409.997   430.962   1.87781   1.70495   1.78135   274.111   94.3347   40.7028   384.229   393.148   406.804   415.443   428.264   436.624
3        10     402.611   424.937   445.597   1.92029   1.74209   1.89588   266.684   119.389   62.5118   398.721   408.615   421.992    431.05   442.059   452.231
3        11      393.53   415.415   436.218   1.89023   1.75179   1.65322   333.857   131.156    16.172   389.704   400.156   412.418   421.058   433.739   441.403
3        12     401.706   423.424   444.417   1.85629   1.89326    1.5599    374.45   424.159   44.2512   398.237   406.459   418.861    429.73   442.132   451.329
3        13     330.714    347.71   364.161   1.46729   1.56123   1.37866   184.018   358.745   32.5308   327.722   334.974   344.013   353.947   362.291   371.331
3        14     331.239   348.494   364.497   1.60067    1.4063   1.49863   313.731   131.991   31.7839    328.07   336.373    345.52   354.526   361.985   370.992
3        15     404.504   426.478   447.429   1.86663   1.79171   1.77393   202.771   104.416   19.3634   401.352   409.574   422.812   432.427    444.55   454.862
