*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0     0    73.6309    0.53267    76.2942    6894.98    69.6773    77.7757
    0     1    66.7879    0.536385    69.4699    5752.6    63.8189    70.1942
    0     2    76.7427    0.544815    79.4668    5927.43    71.745    81.7387
    0     3    71.9846    0.537589    74.6726    842.786    67.9543    76.2249
    0     4    77.3079    0.536216    79.989    4689.71    72.6065    81.5664
    0     5    80.2237    0.539193    82.9197    2147.13    76.9142    83.1172
    0     6    93.3411    0.540524    96.0437    5602.55    88.4586    100.865
    0     7    81.2103    0.552792    83.9742    1565.96    76.0526    86.2187
    0     8    95.7049    0.525659    98.3332    7722.42    91.9048    100.692
    0     9    75.5021    0.534733    78.1757    5744.42    70.7112    81.2218
    0     10    112.853    0.52618    115.484    4755.89    108.102    117.751
    0     11    72.7727    0.532539    75.4354    6902.51    67.4373    77.2588
    0     12    54.1304    0.515889    56.7098    2154.99    51.2406    58.3051
    0     13    89.1893    0.530023    91.8394    2025.89    83.9787    95.1786
    0     14    81.1601    0.52394    83.7798    1992.81    76.0526    85.8741
    0     15    71.5945    0.53912    74.2901    7861.71    67.4373    75.5357
    1     0    77.8524    0.574726    80.7261    7477.71    70.3665    83.8064
    1     1    80.8875    0.562648    83.7008    4925.59    75.5357    87.2525
    1     2    79.458    0.593915    82.4275    9832.09    73.2957    85.1848
    1     3    71.2039    0.581071    74.1093    4370.6    66.9204    76.5695
    1     4    100.685    0.578043    103.576    9296.56    94.834    107.068
    1     5    93.2495    0.570819    96.1036    5967.88    88.114    98.797
    1     6    74.3636    0.581627    77.2717    9712.78    68.2989    79.3264
    1     7    86.7506    0.578208    89.6416    6692.18    81.7387    92.594
    1     8    97.0006    0.571546    99.8583    45623.2    91.3878    103.622
    1     9    73.0134    0.557749    75.8021    53100.4    66.5758    78.4649
    1     10    91.669    0.606105    94.6996    22250.4    86.5633    97.5909
    1     11    95.5117    0.588594    98.4547    32527.7    90.0094    100.52
    1     12    75.6584    0.559009    78.4535    16319.6    71.9173    79.4987
    1     13    80.0818    0.546051    82.8121    1768.19    73.985    85.7018
    1     14    104.649    0.561085    107.454    14959.6    99.3139    109.825
    1     15    102.597    0.565096    105.423    11524.9    96.557    109.308
    2     0    102.377    0.529053    105.023    5812.14    98.1078    108.274
    2     1    82.2003    0.527293    84.8368    4071.41    77.6034    87.7694
    2     2    92.1899    0.52381    94.8089    3732.79    86.391    98.6247
    2     3    63.6943    0.534091    66.3648    6977.97    59.6836    68.6435
    2     4    80.9124    0.52473    83.5361    1613.13    76.0526    87.4248
    2     5    71.797    0.523009    74.412    6058.85    67.9543    78.2926
    2     6    73.3344    0.53822    76.0255    5621.49    67.4373    79.8434
    2     7    73.0969    0.522254    75.7082    1421    67.4373    78.8095
    2     8    91.3401    0.505881    93.8695    22836.6    87.7694    96.9016
    2     9    74.5502    0.508302    77.0918    31852.8    68.9881    80.8772
    2     10    69.1706    0.505731    71.6992    4114.29    63.9912    75.0188
    2     11    87.4503    0.510475    90.0027    12087.7    81.911    94.1447
    2     12    82.6149    0.511091    85.1703    8943.12    76.3972    88.4586
    2     13    74.558    0.507665    77.0963    8861.87    68.1266    80.8772
    2     14    108.983    0.497219    111.469    346.409    102.415    115.855
    2     15    61.716    0.513608    64.2841    8241.24    56.0652    66.2312
    3     0    101.637    0.588529    104.579    4249.58    95.3509    108.446
    3     1    95.5704    0.592871    98.5347    4361.19    89.4925    103.622
    3     2    90.2643    0.607857    93.3036    2611.8    83.1172    96.0401
    3     3    78.6057    0.614383    81.6776    4662.13    74.3296    83.9787
    3     4    78.9297    0.596911    81.9143    1194.97    72.2619    83.9787
    3     5    92.6448    0.678025    96.035    1358.29    85.3571    99.4862
    3     6    105.28    0.604168    108.301    2681.9    98.9693    110.514
    3     7    95.5511    0.67059    98.904    1675.14    90.6986    100.865
    3     8    96.4362    0.829585    100.584    37359.8    88.4586    104.138
    3     9    87.5997    0.58253    90.5123    20475.6    82.7726    91.3878
    3     10    104.358    0.621725    107.467    5498.2    98.1078    112.065
    3     11    100.107    0.596089    103.087    17683.3    93.2832    106.206
    3     12    108.068    0.568929    110.912    421.062    101.037    116.544
    3     13    102.661    0.544075    105.382    7414.97    97.0739    108.102
    3     14    104.055    0.556837    106.839    218.646    99.6585    108.446
    3     15    109.376    0.597755    112.365    4009.09    105    112.926
