* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      2   12      0.0298115  -2.62616   33.5441   88.0923   0.0295506  -2.60318   33.8402   88.0923   0.0293284   -2.5836   34.0967   88.0923
      2   13        0.02923   -2.3742   34.2114   81.2248   0.0290564   -2.3601   34.4158   81.2248    0.028949  -2.35137   34.5435   81.2248
      2   14      0.0294409  -2.83693   33.9664   96.3604   0.0292938  -2.82276   34.1369   96.3604   0.0292465   -2.8182   34.1922   96.3604
      2   15      0.0288403  -2.01759   34.6738   69.9575    0.028627  -2.00267   34.9321   69.9575   0.0284635  -1.99124   35.1327   69.9575
      3    0     -0.0438897   4.90407  -22.7844   111.736  -0.0469649   5.24768  -21.2925   111.736  -0.0498627   5.57147  -20.0551   111.736
      3    1      0.0217468  -1.63682   45.9838   75.2673   0.0216423  -1.62896   46.2059   75.2673   0.0215508  -1.62207   46.4021   75.2673
      3    2      0.0208654  -1.72903   47.9262   82.8658   0.0207685    -1.721   48.1499   82.8658    0.020679  -1.71358   48.3582   82.8658
      3    3      0.0210078  -1.64426   47.6013   78.2689   0.0208702  -1.63349   47.9153   78.2689   0.0208388  -1.63103   47.9874   78.2689
      3    4       0.021296  -1.96937   46.9573   92.4762   0.0212751  -1.96745   47.0032   92.4762   0.0212256  -1.96286    47.113   92.4762
      3    5      0.0214836  -1.59272   46.5471   74.1366   0.0214354  -1.58915   46.6517   74.1366   0.0213838  -1.58532   46.7644   74.1366
      3    6       0.020701  -1.58167   48.3069   76.4057   0.0206072  -1.57451   48.5267   76.4057    0.020548  -1.56998   48.6666   76.4057
      3    7      0.0211899  -1.63726   47.1922   77.2659   0.0211248  -1.63223   47.3377   77.2659   0.0210483  -1.62632   47.5097   77.2659
      3    8      0.0210154  -1.53827   47.5841   73.1974   0.0209303  -1.53204   47.7776   73.1974   0.0208308  -1.52476   48.0059   73.1974
      3    9      0.0213945  -1.48498   46.7409   69.4093   0.0213005  -1.47845   46.9472   69.4093   0.0211989   -1.4714   47.1722   69.4093
      3   10      0.0215452  -2.11442    46.414   98.1386   0.0214452  -2.10461   46.6304   98.1386   0.0213844  -2.09863   46.7631   98.1386
      3   11      0.0220115  -1.68316   45.4308   76.4674   0.0219489  -1.67837   45.5604   76.4674   0.0218527  -1.67102   45.7609   76.4674
      3   12      0.0208764  -2.08772   47.9009   100.004   0.0207781  -2.07788   48.1276   100.004   0.0207139  -2.07147   48.2767   100.004
      3   13      0.0212185  -1.64249   47.1288   77.4083   0.0211454  -1.63683   47.2915   77.4083   0.0210608  -1.63028   47.4815   77.4083
      3   14      0.0214974  -1.66402   46.5172   77.4055   0.0214136  -1.65753   46.6994   77.4055   0.0213489  -1.65252   46.8409   77.4055
      3   15      0.0214527  -1.55892   46.6142   72.6677   0.0213694  -1.55287   46.7958   72.6677    0.021279   -1.5463   46.9947   72.6677
