* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      2   11      0.0302914  -1.84973   33.0127   61.0645   0.0299718  -1.83021   33.3647   61.0645   0.0296905  -1.81304   33.6808   61.0645
      2   12       0.029904  -2.40852   33.4404    80.542   0.0295869  -2.38299   33.7988    80.542    0.029409  -2.36866   34.0032    80.542
      2   13       0.029487  -2.18309   33.9133   74.0359   0.0292019  -2.16199   34.2443   74.0359   0.0289922  -2.14646    34.492   74.0359
      2   14      0.0296132  -2.48122   33.7687   83.7877   0.0293112  -2.45592   34.1167   83.7877   0.0290769  -2.43629   34.3915   83.7877
      2   15      0.0299728  -2.06602   33.3636   68.9298   0.0296673  -2.04496   33.7071   68.9298    0.029424  -2.02819   33.9859   68.9298
      3    0      0.0159406  -1.59541    62.733   100.085   0.0159152  -1.59287    62.833   100.085   0.0158624  -1.58759   63.0421   100.085
      3    1       0.015955  -1.42429   62.6761   89.2691   0.0159189  -1.42107   62.8182   89.2691   0.0158878  -1.41829   62.9414   89.2691
      3    2      0.0159575  -1.87354   62.6664   117.408   0.0159123  -1.86822   62.8446   117.408   0.0158841  -1.86491   62.9561   117.408
      3    3      0.0159615  -1.19356   62.6506    74.777   0.0159159  -1.19014   62.8304    74.777   0.0158917  -1.18833   62.9261    74.777
      3    4       0.015996  -1.69911   62.5155   106.221   0.0159738  -1.69675   62.6026   106.221   0.0159479    -1.694   62.7041   106.221
      3    5      0.0159817  -1.72827   62.5716   108.141   0.0159559  -1.72548   62.6729   108.141   0.0159032  -1.71978   62.8806   108.141
      3    6      0.0159921  -1.56283    62.531   97.7255     0.01596   -1.5597   62.6566   97.7255   0.0159026  -1.55409   62.8828   97.7255
      3    7      0.0158431   -2.2302   63.1191   140.768   0.0157967  -2.22368   63.3043   140.768   0.0157716  -2.22014   63.4051   140.768
      3    8      0.0158783  -1.80772   62.9792   113.849   0.0158437  -1.80378   63.1167   113.849   0.0158045  -1.79932   63.2732   113.849
      3    9      0.0159551   -1.8871   62.6758   118.275   0.0159262  -1.88367   62.7898   118.275   0.0158728  -1.87736   63.0007   118.275
      3   10      0.0158541  -1.80773   63.0754   114.023   0.0158198  -1.80383   63.2117   114.023   0.0157994   -1.8015   63.2934   114.023
      3   11        0.01626  -1.65198   61.5005   101.597   0.0162284  -1.64876   61.6205   101.597   0.0162008  -1.64596   61.7253   101.597
      3   12      0.0159094  -1.66433   62.8561   104.613   0.0158766   -1.6609   62.9858   104.613   0.0158515  -1.65828   63.0854   104.613
      3   13      0.0160355  -1.74001   62.3616    108.51   0.0159963  -1.73576   62.5146    108.51   0.0159535  -1.73112    62.682    108.51
      3   14      0.0163948  -1.50366   60.9949   91.7159   0.0163566  -1.50016   61.1375   91.7159   0.0163227  -1.49705   61.2643   91.7159
      3   15      0.0160315  -1.58457   62.3773   98.8412   0.0159983  -1.58129   62.5068   98.8412    0.015948  -1.57632   62.7037   98.8412
