* Calculate the alpha peak energies, changing the thickness of the dead layer.
* AlThickness = 0.05 + 0.50 * i (um), i=0,1,2,...
* Thres alpha peaks: E1=5.14718, E2=5.48038, E3=5.79521; E(i) = energy after mylar.
*        SSDNum  CHNum E(i=0)    E(i=1)    E(i=2)    E(i=3)    E(i=4)    E(i=5)    E(i=6)    E(i=7)    E(i=8)    E(i=9)
         0         0   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0         1   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0         2   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0         3   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0         4   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0         5   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0         6   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0         7   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0         8   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0         9   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0        10   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0        11   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0        12   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0        13   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0        14   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         0        15   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         0   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         1   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         2   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         3   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         4   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         5   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         6   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         7   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         8   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1         9   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1        10   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1        11   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1        12   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1        13   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1        14   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         1        15   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         0   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         1   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         2   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         3   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         4   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         5   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         6   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         7   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         8   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2         9   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2        10   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2        11   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2        12   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2        13   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2        14   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         2        15   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         0   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         1   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         2   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         3   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         4   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         5   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         6   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         7   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         8   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3         9   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3        10   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3        11   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3        12   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3        13   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3        14   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
         3        15   4.91404   4.83054   4.74614   4.66084   4.57451    4.4872    4.3989   4.30947   4.21884   4.12709
