*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
2        12      252.53   265.838   278.426   1.75812   1.73045   1.54481   75.0205   130.082   9.70599   247.708   257.603   259.838   270.691    275.16   288.566
2        13     249.417   263.033   275.607    1.6757   1.55849   1.91301   136.074   111.111   11.6969    242.92   254.092   257.284   267.499   268.776   279.309
2        14     261.844   275.286   287.505   1.74402   1.56776   1.81232   137.834   99.8339   13.3526   256.007   267.499   269.733   279.628   281.544   298.461
2        15     239.236   252.897   265.402   1.83652   1.64799    1.8854   55.5202   25.3969   3.64467   231.588   243.718   247.549   258.401   260.955   271.489
3         0           0         0         0         0         0         0         0         0         0   275.319   288.087   291.918   304.686   308.516   319.369
3         1     316.463   324.003   344.713   3.90905   5.42343   1.82498   151.303    117.04   36.8034   312.985    322.88   326.711   337.883   338.521   354.482
3         2     336.106   346.866   363.607   2.21526   2.35745   2.03758   10.6081   106.231   24.9822   333.095   341.394   343.948   352.886   357.035   369.165
3         3     314.286   331.616   347.159   2.19638   1.88069   2.12619   241.824   76.3917    41.053   306.601   321.604   326.711   336.925   341.713   354.801
3         4     329.041   346.612   355.295   2.20578   1.69409   2.60244   214.331   3.91353   14.5733    322.88   335.968   343.629    350.97    351.29   359.589
3         5     315.811   332.655    349.28   2.98445   2.45455   1.71279   142.385     76.58   13.7113   310.112   321.604   326.392   338.521   344.906   355.758
3         6     314.017   324.781   331.449   2.99685   2.43018   2.52762   13.2484   18.2541    81.569   309.474   316.496   320.327    327.03   328.945   338.202
3         7     308.738    318.17   326.065   2.98327    1.8856   2.53612   149.376   7.17489   13.1374   300.217   313.304    315.22   320.965   322.242   328.945
3         8     306.761   317.397   401.094   2.92705   2.46271   15.6568   111.828   228.966   104.673   299.579   310.751   313.304    322.88   327.349   336.287
3         9     300.804   318.008   334.283   4.03727   3.91113   4.05648   329.037   159.202   36.7635   292.237   310.112    311.07   325.115   326.711   344.906
3        10     325.882   335.927   295.898   2.54592   2.58535   13.7055   45.9042   298.048    107.91   322.242   330.861   332.457   342.033   342.033   350.013
3        11     299.676   308.285   314.569   2.74248   1.71293   2.93389   24.3594    2.4073    12.301   295.269   304.207   305.803    311.23   316.337   321.444
3        12     335.278   346.049   352.995   2.40482   2.38186   2.76542   23.2573   49.7719   148.387   330.701       339   340.915   348.896   350.172   360.706
3        13      310.25   316.135   332.051   4.14189    1.8416     3.856   50.5122   25.9956   394.023   301.973   310.591   315.379   320.806   326.551   337.404
3        14     306.355   258.831   340.731   3.73956   31.7356   5.41375   64.7649   344.454   114.546   301.015   310.591   321.763   333.255   334.851   350.172
3        15      303.16   320.237   336.592   4.21491   4.00128   3.86253   112.077    90.721   30.7982   294.312   309.634    315.06   327.509   330.701   347.938
