# Fiiting funtion = par[0] + par[1]*x && y=a*x+b, so a = par[1], b = par[0];  0.0 isn't a peak
# SSDNum   CHNum    par1(a)   err_par0   par0(b)   err_par1    peak1    peak2    peak3    peak4    peak5    peak6     peak7    peak8     peak9     peak10     peak11
     2        4   3492.4713    1.0146   79.1868    0.5296     3571.5    1825.5    952.5    778.5    427.5      0.0      0.0      0.0      0.0      0.0      0.0
     2        5   3494.7701    1.3661   88.2443    0.7131     3582.5    1836.5    962.5    787.5    436.5      0.0      0.0      0.0      0.0      0.0      0.0
     2        6   3598.3333    1.0571   87.5833    0.5518     3685.5    1887.5    987.5    807.5    446.5      0.0      0.0      0.0      0.0      0.0      0.0
     2        7   3628.7739    1.7896   97.3027    0.9342     3725.5    1912.5   1005.5    823.5    458.5      0.0      0.0      0.0      0.0      0.0      0.0
     2        8   3579.4636    0.8188   78.3199    0.4274     3657.5    1868.5    973.5    794.5    435.5      0.0      0.0      0.0      0.0      0.0      0.0
     2        9   3577.7969    1.8683   74.4033    0.9753     3651.5    1864.5    969.5    790.5    430.5      0.0      0.0      0.0      0.0      0.0      0.0
     2       10   3550.2107    1.3316   96.7136    0.6951     3646.5    1872.5    984.5    807.5    450.5      0.0      0.0      0.0      0.0      0.0      0.0
     2       11   3529.2529    2.0387   81.1063    1.0642     3609.5    1847.5    963.5    787.5    432.5      0.0      0.0      0.0      0.0      0.0      0.0
     2       12   3545.9195    1.6968   89.2730    0.8857     3634.5    1863.5    976.5    798.5    442.5      0.0      0.0      0.0      0.0      0.0      0.0
     2       13   3505.5172    1.8415   82.6379    0.9613     3587.5    1836.5    959.5    784.5    431.5      0.0      0.0      0.0      0.0      0.0      0.0
     2       14   3520.9579    1.8777   97.1073    0.9802     3617.5    1858.5    977.5    802.5    447.5      0.0      0.0      0.0      0.0      0.0      0.0
     2       15   3560.4023    2.3591   71.1351    1.2315     3630.5    1853.5    961.5    783.5    425.5      0.0      0.0      0.0      0.0      0.0      0.0
     3        0   3165.0766    4.4166  113.4186    2.3055     3276.5    1700.5    904.5    746.5    427.5      0.0      0.0      0.0      0.0      0.0      0.0
     3        1   3057.2222    5.1771   77.6389    2.7025     3132.5    1611.5    842.5    688.5    380.5      0.0      0.0      0.0      0.0      0.0      0.0
     3        2   3167.3755    5.1543   84.4761    2.6906     3249.5    1673.5    876.5    717.5    398.5      0.0      0.0      0.0      0.0      0.0      0.0
