*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0     00    102.888    0.702783    106.401    9.19472    99.0602    106.422
    0     01    95.007    0.711588    98.565    2.25029    90.2882    99.2168
    0     02    86.3586    0.706839    89.8928    1.78727    77.4436    94.6742
