*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
2        13     240.543   253.849   266.263   1.32258   1.30661    1.2807   110.124   134.385   14.8519   238.023   244.084   251.176   257.624   263.556   270.133
2        14     249.513   262.879   275.465   1.33874   1.36231    1.2326   99.9039   360.364   18.5005   246.604   253.439   259.371   267.109    273.17   279.488
2        15     232.667   245.913   258.329   1.41463   1.30241   1.12432   208.542   75.7716   13.3431    229.38   236.989   243.179   249.627   256.075    262.78
3         0     407.959   430.292   451.513   2.06419   2.10427   2.05388   74.7812   101.855   25.7054   403.902   413.256   426.153   437.208   447.554   458.325
3         1     396.658   419.134   440.287   2.12694   1.94574   1.99796   446.167   202.086   31.9089   392.469   403.099   415.287   424.216   437.113   446.183
3         2      424.86    447.39   468.414   2.09946   1.93227   1.99517   189.439   113.777   51.4081   421.044   430.965   444.004   454.491   465.121    475.75
3         3     382.373   404.607   425.635   1.94044    2.0633    2.1236   171.902   279.437   81.3639   378.603    388.24   400.287   411.342   421.404   431.892
3         4     412.605    434.92   456.049   1.96764   1.90449   1.77736   248.905   176.638   43.4365   409.194   418.689   431.161   441.082   452.845   461.632
3         5     415.293   437.508   458.433   1.90435   1.85601   1.93802   132.238   113.372   25.2845   411.965   420.752   433.791   443.145   454.625   466.246
3         6     404.609   426.861   447.935    1.9588   1.93458   1.99454   280.672   214.796   55.3134   401.257   411.177   423.082   432.011   444.483    456.53
3         7     450.691   473.244   494.258   2.00075   1.88328   2.04353   257.496   78.6449   70.6581   446.808    456.87   470.334   478.554   490.459   502.648
3         8     422.533   445.057   466.384   2.16249   2.06194   1.99235   299.735   130.088   49.9702    418.17   427.665   441.271   450.767   462.814   473.585
3         9     425.721    448.16   468.977   2.00943   1.81697   2.02438   295.796   154.009   76.7015   421.753   432.524   444.712     455.2   464.837   476.459
3        10     423.112   445.723   466.848   2.20613    2.0324   1.95092   485.848   238.974   60.5163   418.178   429.658   440.712   452.617   462.822   475.577
3        11     402.995   424.938   445.663   2.14773   1.98592   1.87895   525.829   345.884   61.9105   397.958   408.304    420.35   431.263   441.893   451.105
3        12     412.658   435.161   456.219   2.10215   1.98088   2.05951   398.862   225.532   48.6102   407.894   418.382    430.57   442.759   452.396    461.75
3        13     414.432   436.809   457.849   2.06737   1.90501   1.82294   348.883    123.35   41.2408   410.343   419.272   433.161   442.515   454.845   463.632
3        14     390.898   412.686   433.119    2.1495   2.04117   2.20218   160.637   74.5667   44.3254   386.824   396.603    408.65   419.421     429.2   441.105
3        15     404.952   427.276   448.145   1.97259   1.89562   2.08366   184.514   36.5923    39.851   401.485   409.563   423.594   432.523   444.428   455.057
