* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum      k1        h1          k2           h2          k3          h3       k11=1./k1  h11=-h1/k1   k22=1./k2  h22=-h2/k2   k33=1./k3  h33=-h3/k3
    2      11   0.0292524    -1.92469   0.0290118    -1.90886   0.0287809    -1.89367     34.1853     65.7961     34.4687     65.7961     34.7452     65.7961
    2      12     0.02928    -1.74861   0.0290049    -1.73219   0.0287859    -1.71911      34.153     59.7204     34.4769     59.7204     34.7392     59.7204
    2      13   0.0291783    -1.52502   0.0289329    -1.51219    0.028711     -1.5006      34.272     52.2656     34.5628     52.2656     34.8298     52.2656
    2      14   0.0298873    -2.58368   0.0296297    -2.56141   0.0294193    -2.54322     33.4591     86.4474     33.7499     86.4474     33.9913     86.4474
    2      15   0.0288942    -1.13956   0.0286378    -1.12945   0.0284635    -1.12258      34.609     39.4392     34.9188     39.4392     35.1327     39.4392
    3       0   0.0161199    -1.47925   0.0160955    -1.47701    0.016051    -1.47293     62.0351     91.7655     62.1291     91.7655     62.3012     91.7655
    3       1   0.0160378    -1.37074   0.0160086    -1.36825   0.0159833    -1.36608     62.3528     85.4696     62.4663     85.4696     62.5654     85.4696
    3       2   0.0158367     -1.2678   0.0158105     -1.2657    0.015775    -1.26286     63.1444     80.0545      63.249     80.0545     63.3913     80.0545
    3       3   0.0158139    -1.07617   0.0157906    -1.07458    0.015766    -1.07291     63.2356     68.0522     63.3289     68.0522     63.4278     68.0522
    3       4   0.0160645    -1.10414   0.0160187    -1.10099   0.0159914    -1.09911     62.2492     68.7316     62.4269     68.7316     62.5337     68.7316
    3       5   0.0160192    -1.31034   0.0159984    -1.30864   0.0159732    -1.30657     62.4251      81.798     62.5063      81.798      62.605      81.798
    3       6   0.0159991    -1.51818   0.0159717    -1.51558   0.0159359    -1.51218     62.5035     94.8914     62.6106     94.8914     62.7514     94.8914
    3       7   0.0158399    -1.36247   0.0158016    -1.35918   0.0157605    -1.35564     63.1317     86.0149     63.2846     86.0149     63.4497     86.0149
    3       8   0.0159732    -1.37385    0.015946    -1.37152   0.0159182    -1.36912     62.6049       86.01     62.7115       86.01     62.8213       86.01
    3       9   0.0157443     -1.1997   0.0157127    -1.19729   0.0156956    -1.19599     63.5152     76.1992     63.6429     76.1992     63.7122     76.1992
    3      10    0.015897    -1.49873   0.0158781    -1.49695   0.0158494    -1.49424     62.9048     94.2773     62.9798     94.2773     63.0939     94.2773
    3      11   0.0161337    -1.44544    0.016099    -1.44233   0.0160912    -1.44163      61.982     89.5911     62.1156     89.5911     62.1457     89.5911
    3      12   0.0161187    -1.57092   0.0160835    -1.56748   0.0160581      -1.565     62.0397     97.4591     62.1755     97.4591      62.274     97.4591
   *3      13   0.0205289     -1.8851   0.0204982    -1.88228    0.020472    -1.87988     48.7119     91.8266     48.7849     91.8266     48.8471     91.8266
   *3      14   0.0205879    -1.91888   0.0205557    -1.91588   0.0205367    -1.91411     48.5723     93.2042     48.6483     93.2042     48.6932     93.2042
   * 上面SSD4_L2F_CH13,CH14 的刻度数据偏大， 下面的数据考虑了两组峰的修正, 以peak1+peak2-pedestal 作为真实的 alpha 峰位
    3      13   0.0161677    -1.48463   0.0161075     -1.4791   0.0160622    -1.47494     61.8516     91.8266     62.0829     91.8266     62.2578     91.8266
    3      14   0.0161877    -1.50876   0.0161212    -1.50256   0.0160784    -1.49857     61.7754     93.2042     62.0302     93.2042     62.1954     93.2042
    3      15   0.0160172    -1.57523   0.0159927    -1.57282   0.0159603    -1.56964     62.4328     98.3463     62.5287     98.3463     62.6554     98.3463
