    Z    A Einc(MeV)     ELossL1     ELossL2        ERes
    1    1      15.1    0.678861     3.67616      10.745
    1    1      15.2    0.675217     3.64992     10.8749
    1    1      15.3    0.671616     3.62419     11.0042
    1    1      15.4    0.668058     3.59895      11.133
    1    1      15.5    0.664541     3.57418     11.2613
    1    1      15.6    0.661066     3.54984     11.3891
    1    1      15.7     0.65763     3.52592     11.5165
    1    1      15.8    0.654235     3.50239     11.6434
    1    1      15.9    0.650878     3.47924     11.7699
    1    1        16    0.647559     3.45645      11.896
    1    1      16.1    0.644279     3.43402     12.0217
    1    1      16.2    0.641034     3.41192      12.147
    1    1      16.3    0.637826     3.39017      12.272
    1    1      16.4    0.634654     3.36875     12.3966
    1    1      16.5    0.631516     3.34766     12.5208
    1    1      16.6    0.628413     3.32689     12.6447
    1    1      16.7    0.625343     3.30644     12.7682
    1    1      16.8    0.622306     3.28629     12.8914
    1    1      16.9    0.619302     3.26645     13.0143
    1    1        17     0.61633      3.2469     13.1368
    1    1      17.1    0.613389     3.22763      13.259
    1    1      17.2     0.61048     3.20864     13.3809
    1    1      17.3    0.607601     3.18992     13.5025
    1    1      17.4    0.604752     3.17147     13.6238
    1    1      17.5    0.601932     3.15327     13.7448
    1    1      17.6    0.599142     3.13533     13.8655
    1    1      17.7     0.59638     3.11763      13.986
    1    1      17.8    0.593647     3.10016     14.1062
    1    1      17.9    0.590941     3.08294     14.2261
    1    1        18    0.588263     3.06594     14.3458
    1    1      18.1    0.585611     3.04916     14.4652
    1    1      18.2    0.582987     3.03261     14.5844
    1    1      18.3    0.580388     3.01627     14.7033
    1    1      18.4    0.577815     3.00015      14.822
    1    1      18.5    0.575267     2.98422     14.9405
    1    1      18.6    0.572744     2.96851     15.0588
    1    1      18.7    0.570246     2.95299     15.1768
    1    1      18.8    0.567771     2.93766     15.2946
    1    1      18.9    0.565321     2.92252     15.4122
    1    1        19    0.562894     2.90757     15.5295
    1    1      19.1    0.560491      2.8928     15.6467
    1    1      19.2     0.55811     2.87821     15.7637
    1    1      19.3    0.555751      2.8638     15.8805
    1    1      19.4    0.553415     2.84955      15.997
    1    1      19.5      0.5511     2.83548     16.1134
    1    1      19.6    0.548807     2.82157     16.2296
    1    1      19.7    0.546535     2.80782     16.3456
    1    1      19.8    0.544284     2.79423     16.4615
    1    1      19.9    0.542054      2.7808     16.5771
    1    1        20    0.539844     2.76752     16.6926
    1    1      20.1    0.537654     2.75439      16.808
    1    1      20.2    0.535483     2.74141     16.9231
    1    1      20.3    0.533333     2.72857     17.0381
    1    1      20.4    0.531201     2.71588     17.1529
    1    1      20.5    0.529088     2.70332     17.2676
    1    1      20.6    0.526994      2.6909     17.3821
    1    1      20.7    0.524919     2.67862     17.4965
    1    1      20.8    0.522861     2.66647     17.6107
    1    1      20.9    0.520822     2.65445     17.7247
    1    1        21      0.5188     2.64256     17.8386
    1    1      21.1    0.516796     2.63079     17.9524
    1    1      21.2    0.514809     2.61915      18.066
    1    1      21.3    0.512839     2.60763     18.1795
    1    1      21.4    0.510886     2.59623     18.2929
    1    1      21.5     0.50895     2.58494     18.4061
    1    1      21.6    0.507029     2.57377     18.5192
    1    1      21.7    0.505125     2.56272     18.6322
    1    1      21.8    0.503237     2.55177      18.745
    1    1      21.9    0.501365     2.54094     18.8577
    1    1        22    0.499508     2.53021     18.9703
    1    1      22.1    0.497666     2.51959     19.0827
    1    1      22.2     0.49584     2.50908     19.1951
    1    1      22.3    0.494029     2.49867     19.3073
    1    1      22.4    0.492232     2.48836     19.4194
    1    1      22.5     0.49045     2.47815     19.5314
    1    1      22.6    0.488682     2.46804     19.6433
    1    1      22.7    0.486929     2.45802      19.755
    1    1      22.8    0.485189      2.4481     19.8667
    1    1      22.9    0.483463     2.43828     19.9783
    1    1        23    0.481752     2.42854     20.0897
    1    1      23.1    0.480053      2.4189      20.201
    1    1      23.2    0.478368     2.40935     20.3123
    1    1      23.3    0.476697     2.39989     20.4234
    1    1      23.4    0.475038     2.39051     20.5345
    1    1      23.5    0.473392     2.38122     20.6454
    1    1      23.6    0.471759     2.37201     20.7562
    1    1      23.7    0.470138     2.36289      20.867
    1    1      23.8     0.46853     2.35385     20.9776
    1    1      23.9    0.466935     2.34489     21.0882
    1    1        24    0.465351     2.33601     21.1986
    1    1      24.1     0.46378     2.32721      21.309
    1    1      24.2     0.46222     2.31848     21.4193
    1    1      24.3    0.460672     2.30984     21.5295
    1    1      24.4    0.459136     2.30126     21.6396
    1    1      24.5    0.457611     2.29277     21.7496
    1    1      24.6    0.456098     2.28434     21.8596
    1    1      24.7    0.454595     2.27599     21.9694
    1    1      24.8    0.453104     2.26771     22.0792
    1    1      24.9    0.451624      2.2595     22.1889
    1    1        25    0.450155     2.25136     22.2985
    1    1      25.1    0.448696     2.24328      22.408
    1    1      25.2    0.447248     2.23528     22.5175
    1    1      25.3     0.44581     2.22734     22.6268
    1    1      25.4    0.444383     2.21947     22.7361
    1    1      25.5    0.442966     2.21166     22.8454
    1    1      25.6    0.441559     2.20392     22.9545
    1    1      25.7    0.440162     2.19624     23.0636
    1    1      25.8    0.438775     2.18862     23.1726
    1    1      25.9    0.437398     2.18106     23.2815
    1    1        26     0.43603     2.17357     23.3904
    1    1      26.1    0.434672     2.16613     23.4992
    1    1      26.2    0.433324     2.15876     23.6079
    1    1      26.3    0.431985     2.15144     23.7166
    1    1      26.4    0.430655     2.14418     23.8252
    1    1      26.5    0.429335     2.13698     23.9337
    1    1      26.6    0.428024     2.12983     24.0421
    1    1      26.7    0.426721     2.12274     24.1505
    1    1      26.8    0.425428     2.11571     24.2589
    1    1      26.9    0.424143     2.10873     24.3671
    1    1        27    0.422868      2.1018     24.4753
    1    1      27.1    0.421601     2.09492     24.5835
    1    1      27.2    0.420342      2.0881     24.6916
    1    1      27.3    0.419092     2.08133     24.7996
    1    1      27.4     0.41785     2.07461     24.9075
    1    1      27.5    0.416616     2.06795     25.0154
    1    1      27.6    0.415391     2.06133     25.1233
    1    1      27.7    0.414174     2.05476     25.2311
    1    1      27.8    0.412964     2.04824     25.3388
    1    1      27.9    0.411763     2.04176     25.4465
    1    1        28    0.410569     2.03534     25.5541
    1    1      28.1    0.409384     2.02896     25.6617
    1    1      28.2    0.408206     2.02263     25.7692
    1    1      28.3    0.407035     2.01635     25.8766
    1    1      28.4    0.405873     2.01011      25.984
    1    1      28.5    0.404717     2.00391     26.0914
    1    1      28.6     0.40357     1.99776     26.1987
    1    1      28.7    0.402429     1.99166     26.3059
    1    1      28.8    0.401296     1.98559     26.4131
    1    1      28.9     0.40017     1.97957     26.5203
    1    1        29    0.399051      1.9736     26.6274
    1    1      29.1     0.39794     1.96766     26.7344
    1    1      29.2    0.396835     1.96177     26.8414
    1    1      29.3    0.395737     1.95592     26.9483
    1    1      29.4    0.394646      1.9501     27.0553
    1    1      29.5    0.393562     1.94433     27.1621
    1    1      29.6    0.392484      1.9386     27.2689
    1    1      29.7    0.391414     1.93291     27.3757
    1    1      29.8    0.390349     1.92725     27.4824
    1    1      29.9    0.389292     1.92164     27.5891
    1    1        30     0.38824     1.91606     27.6957
    1    1      30.1    0.387196     1.91052     27.8023
    1    1      30.2    0.386157     1.90502     27.9088
    1    1      30.3    0.385125     1.89955     28.0153
    1    1      30.4    0.384099     1.89412     28.1218
    1    1      30.5     0.38308     1.88873     28.2282
    1    1      30.6    0.382066     1.88338     28.3346
    1    1      30.7    0.381059     1.87805     28.4409
    1    1      30.8    0.380057     1.87277     28.5472
    1    1      30.9    0.379062     1.86752     28.6534
    1    1        31    0.378072      1.8623     28.7596
    1    1      31.1    0.377089     1.85711     28.8658
    1    1      31.2    0.376111     1.85196     28.9719
    1    1      31.3    0.375139     1.84685      29.078
    1    1      31.4    0.374172     1.84176     29.1841
    1    1      31.5    0.373211     1.83671     29.2901
    1    1      31.6    0.372256     1.83169     29.3961
    1    1      31.7    0.371306     1.82671      29.502
    1    1      31.8    0.370362     1.82175     29.6079
    1    1      31.9    0.369423     1.81683     29.7138
    1    1        32     0.36849     1.81193     29.8196
    1    1      32.1    0.367562     1.80707     29.9254
    1    1      32.2    0.366639     1.80224     30.0311
    1    1      32.3    0.365721     1.79743     30.1368
    1    1      32.4    0.364809     1.79266     30.2425
    1    1      32.5    0.363902     1.78792     30.3482
    1    1      32.6       0.363     1.78321     30.4538
    1    1      32.7    0.362103     1.77852     30.5594
    1    1      32.8    0.361211     1.77386     30.6649
    1    1      32.9    0.360324     1.76924     30.7704
    1    1        33    0.359443     1.76464     30.8759
    1    1      33.1    0.358566     1.76006     30.9814
    1    1      33.2    0.357694     1.75552     31.0868
    1    1      33.3    0.356826       1.751     31.1922
    1    1      33.4    0.355964     1.74651     31.2975
    1    1      33.5    0.355106     1.74205     31.4028
    1    1      33.6    0.354253     1.73761     31.5081
    1    1      33.7    0.353404      1.7332     31.6134
    1    1      33.8    0.352561     1.72882     31.7186
    1    1      33.9    0.351721     1.72446     31.8238
    1    1        34    0.350887     1.72013      31.929
    1    1      34.1    0.350057     1.71582     32.0341
    1    1      34.2    0.349231     1.71154     32.1392
    1    1      34.3     0.34841     1.70728     32.2443
    1    1      34.4    0.347593     1.70305     32.3494
    1    1      34.5    0.346781     1.69884     32.4544
    1    1      34.6    0.345972     1.69466     32.5594
    1    1      34.7    0.345169      1.6905     32.6643
    1    1      34.8    0.344369     1.68636     32.7693
    1    1      34.9    0.343574     1.68225     32.8742
    1    1        35    0.342783     1.67816     32.9791
    1    1      35.1    0.341996     1.67409     33.0839
    1    1      35.2    0.341213     1.67005     33.1887
    1    1      35.3    0.340434     1.66603     33.2935
    1    1      35.4    0.339659     1.66203     33.3983
    1    1      35.5    0.338889     1.65806     33.5031
    1    1      35.6    0.338122      1.6541     33.6078
    1    1      35.7    0.337359     1.65017     33.7125
    1    1      35.8      0.3366     1.64626     33.8171
    1    1      35.9    0.335846     1.64237     33.9218
    1    1        36    0.335094     1.63851     34.0264
    1    1      36.1    0.334347     1.63466      34.131
    1    1      36.2    0.333604     1.63084     34.2356
    1    1      36.3    0.332864     1.62704     34.3401
    1    1      36.4    0.332128     1.62325     34.4446
    1    1      36.5    0.331396     1.61949     34.5491
    1    1      36.6    0.330668     1.61575     34.6536
    1    1      36.7    0.329943     1.61203      34.758
    1    1      36.8    0.329222     1.60833     34.8625
    1    1      36.9    0.328505     1.60464     34.9669
    1    1        37    0.327791     1.60098     35.0712
    1    1      37.1     0.32708     1.59734     35.1756
    1    1      37.2    0.326374     1.59372     35.2799
    1    1      37.3     0.32567     1.59011     35.3842
    1    1      37.4    0.324971     1.58653     35.4885
    1    1      37.5    0.324274     1.58296     35.5928
    1    1      37.6    0.323582     1.57941      35.697
    1    1      37.7    0.322892     1.57589     35.8012
    1    1      37.8    0.322206     1.57238     35.9054
    1    1      37.9    0.321523     1.56888     36.0096
    1    1        38    0.320844     1.56541     36.1137
    1    1      38.1    0.320168     1.56196     36.2179
    1    1      38.2    0.319495     1.55852      36.322
    1    1      38.3    0.318825      1.5551     36.4261
    1    1      38.4    0.318159      1.5517     36.5301
    1    1      38.5    0.317495     1.54831     36.6342
    1    1      38.6    0.316835     1.54494     36.7382
    1    1      38.7    0.316178     1.54159     36.8422
    1    1      38.8    0.315524     1.53826     36.9462
    1    1      38.9    0.314874     1.53494     37.0502
    1    1        39    0.314226     1.53164     37.1541
    1    1      39.1    0.313581     1.52836     37.2581
    1    1      39.2     0.31294     1.52509      37.362
    1    1      39.3    0.312301     1.52184     37.4659
    1    1      39.4    0.311666     1.51861     37.5697
    1    1      39.5    0.311033     1.51539     37.6736
    1    1      39.6    0.310404     1.51218     37.7774
    1    1      39.7    0.309777       1.509     37.8812
    1    1      39.8    0.309153     1.50583      37.985
    1    1      39.9    0.308532     1.50267     38.0888
    1    1        40    0.307914     1.49953     38.1926
    1    1      40.1    0.307299     1.49641     38.2963
    1    1      40.2    0.306687      1.4933        38.4
    1    1      40.3    0.306077      1.4902     38.5037
    1    1      40.4    0.305471     1.48712     38.6074
    1    1      40.5    0.304867     1.48406     38.7111
    1    1      40.6    0.304266     1.48101     38.8147
    1    1      40.7    0.303667     1.47797     38.9184
    1    1      40.8    0.303071     1.47495      39.022
    1    1      40.9    0.302479     1.47195     39.1256
    1    1        41    0.301888     1.46896     39.2292
    1    1      41.1    0.301301     1.46598     39.3327
    1    1      41.2    0.300716     1.46302     39.4363
    1    1      41.3    0.300133     1.46007     39.5398
    1    1      41.4    0.299553     1.45713     39.6433
    1    1      41.5    0.298976     1.45421     39.7468
    1    1      41.6    0.298402      1.4513     39.8503
    1    1      41.7    0.297829     1.44841     39.9538
    1    1      41.8     0.29726     1.44553     40.0572
    1    1      41.9    0.296693     1.44266     40.1606
    1    1        42    0.296128     1.43981     40.2641
    1    1      42.1    0.295566     1.43697     40.3675
    1    1      42.2    0.295007     1.43414     40.4709
    1    1      42.3    0.294449     1.43133     40.5742
    1    1      42.4    0.293895     1.42853     40.6776
    1    1      42.5    0.293342     1.42574     40.7809
    1    1      42.6    0.292793     1.42296     40.8842
    1    1      42.7    0.292245      1.4202     40.9876
    1    1      42.8      0.2917     1.41745     41.0908
    1    1      42.9    0.291157     1.41471     41.1941
    1    1        43    0.290617     1.41199     41.2974
    1    1      43.1    0.290079     1.40928     41.4006
    1    1      43.2    0.289543     1.40657     41.5039
    1    1      43.3     0.28901     1.40389     41.6071
    1    1      43.4    0.288478     1.40121     41.7103
    1    1      43.5    0.287949     1.39855     41.8135
    1    1      43.6    0.287423     1.39589     41.9167
    1    1      43.7    0.286898     1.39325     42.0198
    1    1      43.8    0.286376     1.39062      42.123
    1    1      43.9    0.285856     1.38801     42.2261
    1    1        44    0.285338      1.3854     42.3293
    1    1      44.1    0.284823     1.38281     42.4324
    1    1      44.2    0.284309     1.38022     42.5355
    1    1      44.3    0.283798     1.37765     42.6385
    1    1      44.4    0.283289     1.37509     42.7416
    1    1      44.5    0.282782     1.37254     42.8447
    1    1      44.6    0.282277     1.37001     42.9477
    1    1      44.7    0.281774     1.36748     43.0507
    1    1      44.8    0.281273     1.36497     43.1538
    1    1      44.9    0.280774     1.36246     43.2568
    1    1        45    0.280277     1.35997     43.3598
    1    1      45.1    0.279783     1.35748     43.4627
    1    1      45.2     0.27929     1.35501     43.5657
    1    1      45.3    0.278799     1.35255     43.6687
    1    1      45.4    0.278311      1.3501     43.7716
    1    1      45.5    0.277824     1.34766     43.8745
    1    1      45.6    0.277339     1.34523     43.9774
    1    1      45.7    0.276857     1.34281     44.0803
    1    1      45.8    0.276376      1.3404     44.1832
    1    1      45.9    0.275897       1.338     44.2861
    1    1        46     0.27542     1.33561      44.389
    1    1      46.1    0.274945     1.33323     44.4918
    1    1      46.2    0.274472     1.33086     44.5947
    1    1      46.3    0.274001      1.3285     44.6975
    1    1      46.4    0.273532     1.32615     44.8003
    1    1      46.5    0.273065     1.32381     44.9031
    1    1      46.6    0.272599     1.32148     45.0059
    1    1      46.7    0.272136     1.31916     45.1087
    1    1      46.8    0.271674     1.31685     45.2115
    1    1      46.9    0.271214     1.31454     45.3142
    1    1        47    0.270756     1.31225      45.417
    1    1      47.1      0.2703     1.30997     45.5197
    1    1      47.2    0.269845      1.3077     45.6225
    1    1      47.3    0.269392     1.30543     45.7252
    1    1      47.4    0.268941     1.30318     45.8279
    1    1      47.5    0.268492     1.30093     45.9306
    1    1      47.6    0.268045      1.2987     46.0333
    1    1      47.7    0.267599     1.29647     46.1359
    1    1      47.8    0.267155     1.29425     46.2386
    1    1      47.9    0.266713     1.29204     46.3412
    1    1        48    0.266272     1.28984     46.4439
    1    1      48.1    0.265833     1.28765     46.5465
    1    1      48.2    0.265396     1.28547     46.6491
    1    1      48.3    0.264961      1.2833     46.7517
    1    1      48.4    0.264527     1.28113     46.8543
    1    1      48.5    0.264095     1.27898     46.9569
    1    1      48.6    0.263664     1.27683     47.0595
    1    1      48.7    0.263236     1.27469     47.1621
    1    1      48.8    0.262808     1.27256     47.2646
    1    1      48.9    0.262383     1.27044     47.3672
    1    1        49    0.261959     1.26832     47.4697
    1    1      49.1    0.261537     1.26622     47.5722
    1    1      49.2    0.261116     1.26412     47.6748
    1    1      49.3    0.260697     1.26203     47.7773
    1    1      49.4    0.260279     1.25995     47.8798
    1    1      49.5    0.259863     1.25788     47.9823
    1    1      49.6    0.259449     1.25581     48.0847
    1    1      49.7    0.259036     1.25376     48.1872
    1    1      49.8    0.258625     1.25171     48.2897
    1    1      49.9    0.258215     1.24967     48.3921
    1    1        50    0.257807     1.24764     48.4946
    1    1      50.1      0.2574     1.24561      48.597
    1    1      50.2    0.256994     1.24359     48.6994
    1    1      50.3    0.256591     1.24158     48.8018
    1    1      50.4    0.256188     1.23958     48.9042
    1    1      50.5    0.255788     1.23759     49.0066
    1    1      50.6    0.255388      1.2356      49.109
    1    1      50.7     0.25499     1.23362     49.2114
    1    1      50.8    0.254594     1.23165     49.3138
    1    1      50.9    0.254199     1.22969     49.4161
    1    1        51    0.253805     1.22773     49.5185
    1    1      51.1    0.253413     1.22578     49.6208
    1    1      51.2    0.253022     1.22384     49.7231
    1    1      51.3    0.252633     1.22191     49.8255
    1    1      51.4    0.252245     1.21998     49.9278
    1    1      51.5    0.251859     1.21806     50.0301
    1    1      51.6    0.251474     1.21615     50.1324
    1    1      51.7     0.25109     1.21424     50.2347
    1    1      51.8    0.250708     1.21234     50.3369
    1    1      51.9    0.250327     1.21045     50.4392
    1    1        52    0.249947     1.20857     50.5415
    1    1      52.1    0.249569     1.20669     50.6437
    1    1      52.2    0.249192     1.20482      50.746
    1    1      52.3    0.248817     1.20296     50.8482
    1    1      52.4    0.248442      1.2011     50.9505
    1    1      52.5     0.24807     1.19925     51.0527
    1    1      52.6    0.247698     1.19741     51.1549
    1    1      52.7    0.247328     1.19557     51.2571
    1    1      52.8    0.246959     1.19374     51.3593
    1    1      52.9    0.246591     1.19192     51.4615
    1    1        53    0.246225      1.1901     51.5637
    1    1      53.1     0.24586     1.18829     51.6658
    1    1      53.2    0.245496     1.18649      51.768
    1    1      53.3    0.245134     1.18469     51.8702
    1    1      53.4    0.244773      1.1829     51.9723
    1    1      53.5    0.244413     1.18112     52.0745
    1    1      53.6    0.244054     1.17934     52.1766
    1    1      53.7    0.243697     1.17757     52.2787
    1    1      53.8    0.243341     1.17581     52.3809
    1    1      53.9    0.242986     1.17405      52.483
    1    1        54    0.242632      1.1723     52.5851
    1    1      54.1     0.24228     1.17055     52.6872
    1    1      54.2    0.241928     1.16881     52.7893
    1    1      54.3    0.241578     1.16708     52.8913
    1    1      54.4    0.241229     1.16535     52.9934
    1    1      54.5    0.240882     1.16363     53.0955
    1    1      54.6    0.240535     1.16192     53.1975
    1    1      54.7     0.24019     1.16021     53.2996
    1    1      54.8    0.239846     1.15851     53.4016
    1    1      54.9    0.239503     1.15681     53.5037
    1    1        55    0.239161     1.15512     53.6057
    1    1      55.1    0.238821     1.15343     53.7077
    1    1      55.2    0.238481     1.15176     53.8098
    1    1      55.3    0.238143     1.15008     53.9118
    1    1      55.4    0.237805     1.14842     54.0138
    1    1      55.5    0.237469     1.14675     54.1158
    1    1      55.6    0.237134      1.1451     54.2178
    1    1      55.7    0.236801     1.14345     54.3198
    1    1      55.8    0.236468      1.1418     54.4217
    1    1      55.9    0.236136     1.14017     54.5237
    1    1        56    0.235806     1.13853     54.6257
    1    1      56.1    0.235476     1.13691     54.7276
    1    1      56.2    0.235148     1.13528     54.8296
    1    1      56.3     0.23482     1.13367     54.9315
    1    1      56.4    0.234494     1.13206     55.0334
    1    1      56.5    0.234169     1.13045     55.1354
    1    1      56.6    0.233845     1.12885     55.2373
    1    1      56.7    0.233522     1.12726     55.3392
    1    1      56.8      0.2332     1.12567     55.4411
    1    1      56.9    0.232879     1.12408      55.543
    1    1        57    0.232559      1.1225     55.6449
    1    1      57.1    0.232241     1.12093     55.7468
    1    1      57.2    0.231923     1.11936     55.8487
    1    1      57.3    0.231606      1.1178     55.9506
    1    1      57.4     0.23129     1.11624     56.0525
    1    1      57.5    0.230976     1.11469     56.1543
    1    1      57.6    0.230662     1.11314     56.2562
    1    1      57.7    0.230349      1.1116     56.3581
    1    1      57.8    0.230038     1.11006     56.4599
    1    1      57.9    0.229727     1.10853     56.5617
    1    1        58    0.229418     1.10701     56.6636
    1    1      58.1    0.229109     1.10548     56.7654
    1    1      58.2    0.228801     1.10397     56.8672
    1    1      58.3    0.228495     1.10246     56.9691
    1    1      58.4    0.228189     1.10095     57.0709
    1    1      58.5    0.227884     1.09945     57.1727
    1    1      58.6    0.227581     1.09795     57.2745
    1    1      58.7    0.227278     1.09646     57.3763
    1    1      58.8    0.226976     1.09497     57.4781
    1    1      58.9    0.226676     1.09349     57.5798
    1    1        59    0.226376     1.09201     57.6816
    1    1      59.1    0.226077     1.09054     57.7834
    1    1      59.2    0.225779     1.08907     57.8851
    1    1      59.3    0.225482     1.08761     57.9869
    1    1      59.4    0.225186     1.08615     58.0887
    1    1      59.5    0.224891      1.0847     58.1904
    1    1      59.6    0.224596     1.08325     58.2922
    1    1      59.7    0.224303      1.0818     58.3939
    1    1      59.8    0.224011     1.08037     58.4956
    1    1      59.9    0.223719     1.07893     58.5974
    1    1        60    0.223429      1.0775     58.6991
    1    1      60.1    0.223139     1.07607     58.8008
    1    1      60.2     0.22285     1.07465     58.9025
    1    1      60.3    0.222562     1.07324     59.0042
    1    1      60.4    0.222275     1.07183     59.1059
