* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      2   11      0.0293839  -2.38315   34.0322   81.1037   0.0289552  -2.34838   34.5361   81.1037   0.0289583  -2.34862   34.5324   81.1037
      2   12      0.0300271  -2.68061   33.3033   89.2733   0.0297485  -2.65574   33.6152   89.2733   0.0295118  -2.63462   33.8847   89.2733
      2   13      0.0294783  -2.43603   33.9232    82.638   0.0292856   -2.4201   34.1465    82.638   0.0291631  -2.40998   34.2899    82.638
      2   14      0.0295734   -2.8718   33.8141   97.1072   0.0294164  -2.85655   33.9946   97.1072   0.0293616  -2.85122   34.0581   97.1072
      2   15      0.0290409  -2.06575   34.4342   71.1323   0.0288116  -2.04944   34.7082   71.1323   0.0286354   -2.0369   34.9218   71.1323
      3    0     -0.0432421   4.90407  -23.1256    113.41  -0.0462719   5.24768  -21.6114    113.41  -0.0491269   5.57147  -20.3554    113.41
      3    1      0.0219769  -1.70603   45.5023   77.6285   0.0218551  -1.69658   45.7559   77.6285   0.0217494  -1.68837   45.9783   77.6285
      3    2      0.0210084  -1.77447   47.6001   84.4647   0.0209007  -1.76538   47.8452   84.4647   0.0208025  -1.75708   48.0712   84.4647
      3    3      0.0212172  -1.70952   47.1316   80.5723   0.0210631   -1.6971   47.4763   80.5723   0.0210199  -1.69362   47.5739   80.5723
      3    4      0.0214919   -2.0326   46.5292   94.5754   0.0214578  -2.02938   46.6032   94.5754   0.0213967   -2.0236   46.7362   94.5754
      3    5      0.0216771  -1.65124   46.1316   76.1745   0.0216154  -1.64654   46.2634   76.1745   0.0215524  -1.64174   46.3986   76.1745
      3    6      0.0208708  -1.63489   47.9137   78.3337   0.0207644  -1.62656   48.1592   78.3337   0.0206951  -1.62113   48.3205   78.3337
      3    7      0.0213489  -1.68634   46.8408   78.9895   0.0212724   -1.6803   47.0093   78.9895   0.0211863  -1.67349   47.2004   78.9895
      3    8      0.0211853  -1.59036   47.2024   75.0689   0.0210877  -1.58303    47.421   75.0689   0.0209775  -1.57476     47.67   75.0689
      3    9       0.021641  -1.55857   46.2087   72.0194   0.0215286  -1.55048   46.4498   72.0194   0.0214116  -1.54205   46.7038   72.0194
      3   10      0.0217625  -2.18519   45.9506   100.411   0.0216463  -2.17352   46.1974   100.411   0.0215725  -2.16612   46.3553   100.411
      3   11      0.0221634  -1.72861   45.1195   77.9939   0.0220899  -1.72288   45.2695   77.9939   0.0219843  -1.71464   45.4869   77.9939
      3   12      0.0210643  -2.15064   47.4737   102.099   0.0209519  -2.13916   47.7284   102.099   0.0208765  -2.13147   47.9007   102.099
      3   13      0.0214506  -1.71409   46.6188   79.9089   0.0213607  -1.70691    46.815   79.9089   0.0212618  -1.69901   47.0327   79.9089
      3   14      0.0216786  -1.71938   46.1284   79.3122   0.0215815  -1.71167   46.3361   79.3122    0.021506  -1.70569   46.4986   79.3122
      3   15      0.0216226   -1.6101   46.2479    74.464   0.0215269  -1.60298   46.4535    74.464    0.021426  -1.59547   46.6722    74.464
