*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.450000	8.00509   	0.450000	6.85052   	0.450000	7.25385   	0.450000	7.25385   	0.450000	0.0596777 	0.450000	0.0535852 	0.450000	0.152926  	0.450000	0.163432  	0.450000	0.151843
0.500000	8.72571   	0.500000	7.46588   	0.500000	7.97837   	0.500000	7.97837   	0.500000	0.064418  	0.500000	0.0573419 	0.500000	0.163174  	0.500000	0.174468  	0.500000	0.162076
0.600000	10.1866   	0.600000	8.7134    	0.600000	9.47459   	0.600000	9.47459   	0.600000	0.0743847 	0.600000	0.0651682 	0.600000	0.182801  	0.600000	0.195617  	0.600000	0.181686
0.700000	11.694    	0.700000	10.0006   	0.700000	11.033    	0.700000	11.033    	0.700000	0.0849273 	0.700000	0.0733455 	0.700000	0.201651  	0.700000	0.215934  	0.700000	0.200531
0.800000	13.242    	0.800000	11.3225   	0.800000	12.6526   	0.800000	12.6526   	0.800000	0.0959881 	0.800000	0.0818212 	0.800000	0.219986  	0.800000	0.235657  	0.800000	0.218873
0.900000	14.8093   	0.900000	12.6609   	0.900000	14.3328   	0.900000	14.3328   	0.900000	0.107534  	0.900000	0.0905656 	0.900000	0.237854  	0.900000	0.25488   	0.900000	0.236761
1.000000	16.4199   	1.000000	14.0362   	1.000000	16.075    	1.000000	16.075    	1.000000	0.11959   	1.000000	0.0995942 	1.000000	0.255521  	1.000000	0.273862  	1.000000	0.254458
1.250000	20.7276   	1.250000	17.7147   	1.250000	20.7107   	1.250000	20.7107   	1.250000	0.152085  	1.250000	0.123487  	1.250000	0.298443  	1.250000	0.319992  	1.250000	0.297518
1.500000	25.7548   	1.500000	22.0076   	1.500000	25.7326   	1.500000	25.7326   	1.500000	0.187659  	1.500000	0.149035  	1.500000	0.340318  	1.500000	0.364964  	1.500000	0.339601
1.750000	31.6541   	1.750000	27.0452   	1.750000	31.1381   	1.750000	31.1381   	1.750000	0.226309  	1.750000	0.176214  	1.750000	0.382796  	1.750000	0.410364  	1.750000	0.382361
2.000000	38.2681   	2.000000	32.6932   	2.000000	36.9292   	2.000000	36.9292   	2.000000	0.268128  	2.000000	0.205074  	2.000000	0.426602  	2.000000	0.456889  	2.000000	0.426525
2.250000	45.4946   	2.250000	38.8641   	2.250000	43.11     	2.250000	43.11     	2.250000	0.31325   	2.250000	0.235694  	2.250000	0.472143  	2.250000	0.504937  	2.250000	0.472499
2.500000	53.266    	2.500000	45.5047   	2.500000	49.6844   	2.500000	49.6844   	2.500000	0.361784  	2.500000	0.268135  	2.500000	0.519687  	2.500000	0.554767  	2.500000	0.520557
3.000000	68.3776   	3.000000	60.0769   	3.000000	64.0201   	3.000000	64.0201   	3.000000	0.469316  	3.000000	0.338602  	3.000000	0.621597  	3.000000	0.660494  	3.000000	0.623712
3.500000	84.9908   	3.500000	76.2663   	3.500000	79.9359   	3.500000	79.9359   	3.500000	0.590886  	3.500000	0.416538  	3.500000	0.733496  	3.500000	0.775104  	3.500000	0.737146
4.000000	103.072   	4.000000	94.0016   	4.000000	97.4153   	4.000000	97.4153   	4.000000	0.726322  	4.000000	0.501777  	4.000000	0.855979  	4.000000	0.899094  	4.000000	0.861445
4.500000	122.589   	4.500000	113.235   	4.500000	116.432   	4.500000	116.432   	4.500000	0.875284  	4.500000	0.594003  	4.500000	0.989288  	4.500000	1.03262   	4.500000	0.996844
5.000000	143.514   	5.000000	133.925   	5.000000	136.957   	5.000000	136.957   	5.000000	1.03735   	5.000000	0.692888  	5.000000	1.13341   	5.000000	1.17559   	5.000000	1.14331
5.500000	165.821   	5.500000	156.037   	5.500000	158.956   	5.500000	158.956   	5.500000	1.21209   	5.500000	0.798131  	5.500000	1.28819   	5.500000	1.32783   	5.500000	1.30066
6.000000	189.485   	6.000000	179.537   	6.000000	182.399   	6.000000	182.399   	6.000000	1.39908   	6.000000	0.909449  	6.000000	1.45336   	6.000000	1.48905   	6.000000	1.46864
