*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.450000	4.45718   	0.450000	4.30498   	0.450000	4.31599   	0.450000	4.31599   	0.450000	0.0373966 	0.450000	0.0289243 	0.450000	0.0521229 	0.450000	0.0679261 	0.450000	0.0453695
0.500000	4.88203   	0.500000	4.71519   	0.500000	4.74724   	0.500000	4.74724   	0.500000	0.0404644 	0.500000	0.0310976 	0.500000	0.0564477 	0.500000	0.0730445 	0.500000	0.0492487
0.600000	5.73434   	0.600000	5.53812   	0.600000	5.62765   	0.600000	5.62765   	0.600000	0.04669   	0.600000	0.0355396 	0.600000	0.064863  	0.600000	0.0829118 	0.600000	0.0568342
0.700000	6.59981   	0.700000	6.37375   	0.700000	6.53663   	0.700000	6.53663   	0.700000	0.0531197 	0.700000	0.0401475 	0.700000	0.0729451 	0.700000	0.0922682 	0.700000	0.0641639
0.800000	7.49581   	0.800000	7.23886   	0.800000	7.47627   	0.800000	7.47627   	0.800000	0.0597842 	0.800000	0.0449264 	0.800000	0.08066   	0.800000	0.101092  	0.800000	0.0711995
0.900000	8.42741   	0.900000	8.13834   	0.900000	8.44749   	0.900000	8.44749   	0.900000	0.0666952 	0.900000	0.0498735 	0.900000	0.0880186 	0.900000	0.109434  	0.900000	0.0779451
1.000000	9.39607   	1.000000	9.07361   	1.000000	9.45094   	1.000000	9.45094   	1.000000	0.0738625 	1.000000	0.0549878 	1.000000	0.0951032 	1.000000	0.117374  	1.000000	0.0844672
1.250000	11.9868   	1.250000	11.5751   	1.250000	12.1055   	1.250000	12.1055   	1.250000	0.0929937 	1.250000	0.0686842 	1.250000	0.111714  	1.250000	0.135769  	1.250000	0.099867
1.500000	14.8226   	1.500000	14.3131   	1.500000	14.9816   	1.500000	14.9816   	1.500000	0.114107  	1.500000	0.0845052 	1.500000	0.127365  	1.500000	0.152819  	1.500000	0.114496
1.750000	17.9195   	1.750000	17.3032   	1.750000	18.077    	1.750000	18.077    	1.750000	0.137137  	1.750000	0.102042  	1.750000	0.142439  	1.750000	0.169009  	1.750000	0.128678
2.000000	21.2728   	2.000000	20.5409   	2.000000	21.3892   	2.000000	21.3892   	2.000000	0.162039  	2.000000	0.120962  	2.000000	0.157146  	2.000000	0.184618  	2.000000	0.142587
2.250000	24.8743   	2.250000	24.0182   	2.250000	24.9167   	2.250000	24.9167   	2.250000	0.188807  	2.250000	0.141107  	2.250000	0.171629  	2.250000	0.199874  	2.250000	0.156351
2.500000	28.7155   	2.500000	27.7292   	2.500000	28.6587   	2.500000	28.6587   	2.500000	0.217444  	2.500000	0.162384  	2.500000	0.186086  	2.500000	0.214953  	2.500000	0.170137
3.000000	36.7683   	3.000000	35.8598   	3.000000	36.7827   	3.000000	36.7827   	3.000000	0.280346  	3.000000	0.208148  	3.000000	0.214511  	3.000000	0.245082  	3.000000	0.197383
3.500000	45.6981   	3.500000	44.9037   	3.500000	45.7532   	3.500000	45.7532   	3.500000	0.350752  	3.500000	0.25803   	3.500000	0.227622  	3.500000	0.272814  	3.500000	0.210467
4.000000	55.495    	4.000000	54.8201   	4.000000	55.5612   	4.000000	55.5612   	4.000000	0.428621  	4.000000	0.311901  	4.000000	0.244691  	4.000000	0.289288  	4.000000	0.227304
4.500000	66.1491   	4.500000	65.5821   	4.500000	66.1966   	4.500000	66.1966   	4.500000	0.513884  	4.500000	0.369622  	4.500000	0.265566  	4.500000	0.309769  	4.500000	0.247769
5.000000	77.65     	5.000000	77.17     	5.000000	77.6487   	5.000000	77.6487   	5.000000	0.60645   	5.000000	0.431079  	5.000000	0.290024  	5.000000	0.333957  	5.000000	0.271657
5.500000	89.9881   	5.500000	89.568    	5.500000	89.9072   	5.500000	89.9072   	5.500000	0.706224  	5.500000	0.49618   	5.500000	0.317849  	5.500000	0.361587  	5.500000	0.298769
6.000000	103.154   	6.000000	102.763   	6.000000	102.962   	6.000000	102.962   	6.000000	0.813113  	6.000000	0.564843  	6.000000	0.348814  	6.000000	0.392385  	6.000000	0.328893
6.500000	117.139   	6.500000	116.743   	6.500000	116.803   	6.500000	116.803   	6.500000	0.927024  	6.500000	0.636989  	6.500000	0.382754  	6.500000	0.426154  	6.500000	0.361876
7.000000	131.934   	7.000000	131.498   	7.000000	131.421   	7.000000	131.421   	7.000000	1.04787   	7.000000	0.712546  	7.000000	0.419477  	7.000000	0.462666  	7.000000	0.39754
7.500000	147.531   	7.500000	147.017   	7.500000	146.808   	7.500000	146.808   	7.500000	1.17556   	7.500000	0.791447  	7.500000	0.458855  	7.500000	0.501766  	7.500000	0.435767
8.000000	163.923   	8.000000	163.293   	8.000000	162.955   	8.000000	162.955   	8.000000	1.31003   	8.000000	0.873633  	8.000000	0.500763  	8.000000	0.543305  	8.000000	0.476442
8.500000	181.102   	8.500000	180.316   	8.500000	179.853   	8.500000	179.853   	8.500000	1.45119   	8.500000	0.959049  	8.500000	0.545102  	8.500000	0.587162  	8.500000	0.519474
9.000000	199.061   	9.000000	198.079   	9.000000	197.496   	9.000000	197.496   	9.000000	1.59898   	9.000000	1.04764   	9.000000	0.59179   	9.000000	0.633237  	9.000000	0.564787
9.500000	217.794   	9.500000	216.573   	9.500000	215.877   	9.500000	215.877   	9.500000	1.75333   	9.500000	1.13937   	9.500000	0.640753  	9.500000	0.681439  	9.500000	0.612314
10.000000	237.293   	10.000000	235.79    	10.000000	234.988   	10.000000	234.988   	10.000000	1.91418   	10.000000	1.2342    	10.000000	0.691929  	10.000000	0.731692  	10.000000	0.661999
11.000000	278.569   	11.000000	276.206   	11.000000	275.411   	11.000000	275.399   	11.000000	2.25594   	11.000000	1.43341   	11.000000	0.800852  	11.000000	0.838227  	11.000000	0.767785
12.000000	322.84    	12.000000	319.47    	12.000000	318.759   	12.000000	318.715   	12.000000	2.62474   	12.000000	1.64541   	12.000000	0.918419  	12.000000	0.952609  	12.000000	0.882028
13.000000	370.064   	13.000000	365.558   	13.000000	365.005   	13.000000	364.908   	13.000000	3.02034   	13.000000	1.87004   	13.000000	1.04445   	13.000000	1.07459   	13.000000	1.00457
14.000000	420.199   	14.000000	414.447   	14.000000	414.122   	14.000000	413.956   	14.000000	3.4426    	14.000000	2.10726   	14.000000	1.17882   	14.000000	1.204     	14.000000	1.13531
15.000000	473.208   	15.000000	466.112   	15.000000	466.087   	15.000000	465.837   	15.000000	3.89137   	15.000000	2.35688   	15.000000	1.32143   	15.000000	1.34067   	15.000000	1.27414
16.000000	529.054   	16.000000	520.53    	16.000000	520.882   	16.000000	520.534   	16.000000	4.36656   	16.000000	2.61871   	16.000000	1.47219   	16.000000	1.48449   	16.000000	1.421
17.000000	587.704   	17.000000	577.676   	17.000000	578.487   	17.000000	578.029   	17.000000	4.8681    	17.000000	2.8927    	17.000000	1.63103   	17.000000	1.63537   	17.000000	1.57584
18.000000	649.124   	18.000000	637.528   	18.000000	638.887   	18.000000	638.307   	18.000000	5.39593   	18.000000	3.17886   	18.000000	1.79792   	18.000000	1.79322   	18.000000	1.73861
19.000000	713.284   	19.000000	700.064   	19.000000	702.066   	19.000000	701.356   	19.000000	5.94996   	19.000000	3.47721   	19.000000	1.9728    	19.000000	1.95798   	19.000000	1.90929
20.000000	780.155   	20.000000	765.26    	20.000000	768.01    	20.000000	767.163   	20.000000	6.53017   	20.000000	3.78766   	20.000000	2.15565   	20.000000	2.12959   	20.000000	2.08785
21.000000	849.709   	21.000000	833.097   	21.000000	836.709   	21.000000	835.718   	21.000000	7.13656   	21.000000	4.11008   	21.000000	2.34645   	21.000000	2.30802   	21.000000	2.27427
22.000000	921.919   	22.000000	903.552   	22.000000	908.149   	22.000000	907.009   	22.000000	7.7691    	22.000000	4.44441   	22.000000	2.54516   	22.000000	2.49321   	22.000000	2.46854
23.000000	996.758   	23.000000	976.605   	23.000000	982.32    	23.000000	981.029   	23.000000	8.42774   	23.000000	4.79062   	23.000000	2.75178   	23.000000	2.68513   	23.000000	2.67064
24.000000	1074.2    	24.000000	1052.24   	24.000000	1059.21   	24.000000	1057.77   	24.000000	9.11246   	24.000000	5.1487    	24.000000	2.96627   	24.000000	2.88375   	24.000000	2.88057
