*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0499049 	0.001000	0.0499049 	0.001000	0.0436543 	0.001000	0.0436543 	0.001000	0         	0.001000	0         	0.001000	9.85596e-05	0.001000	0.000160267	0.001000	7.34018e-05
0.002000	0.101434  	0.002000	0.0998097 	0.002000	0.0873085 	0.002000	0.0873085 	0.002000	0.00610056	0.002000	0.00610056	0.002000	0.000288619	0.002000	0.000453376	0.002000	0.000223891
0.005000	0.238162  	0.005000	0.23223   	0.005000	0.202067  	0.005000	0.202067  	0.005000	0.00729541	0.005000	0.00729541	0.005000	0.00102805	0.005000	0.00155782	0.005000	0.000827498
0.008000	0.358517  	0.008000	0.348791  	0.008000	0.302855  	0.008000	0.302855  	0.008000	0.0073512 	0.008000	0.0073512 	0.008000	0.00188905	0.008000	0.00281165	0.008000	0.0015459
0.010000	0.432524  	0.010000	0.420466  	0.010000	0.364913  	0.010000	0.364913  	0.010000	0.00755105	0.010000	0.00755105	0.010000	0.0025013 	0.010000	0.00369247	0.010000	0.00206174
0.015000	0.601502  	0.015000	0.584118  	0.015000	0.507177  	0.015000	0.507177  	0.015000	0.00859259	0.015000	0.00859259	0.015000	0.004112  	0.015000	0.00598438	0.015000	0.00343018
0.020000	0.74264   	0.020000	0.720809  	0.020000	0.629847  	0.020000	0.629847  	0.020000	0.00980253	0.020000	0.00980253	0.020000	0.00569219	0.020000	0.00821765	0.020000	0.00477937
0.025000	0.860773  	0.025000	0.835219  	0.025000	0.735879  	0.025000	0.735879  	0.025000	0.0108549 	0.025000	0.0108549 	0.025000	0.00717782	0.025000	0.010311  	0.025000	0.00605059
0.030000	0.962979  	0.030000	0.934204  	0.030000	0.830008  	0.030000	0.830008  	0.030000	0.0117429 	0.030000	0.0117429 	0.030000	0.00858573	0.030000	0.0122895 	0.030000	0.00725775
0.035000	1.05369   	0.035000	1.02206   	0.035000	0.915602  	0.035000	0.915602  	0.035000	0.012506  	0.035000	0.012506  	0.035000	0.0099401 	0.035000	0.0141875 	0.035000	0.00842137
