*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG
0.450000	11.508    	0.450000	11.3373   	0.450000	11.4988   	0.450000	11.4988   	0.450000	0.0884926 	0.450000	0.0861952 	0.450000	0.262111  	0.450000	0.273056  	0.450000	0.261156
0.500000	12.8112   	0.500000	12.6209   	0.500000	12.7695   	0.500000	12.7695   	0.500000	0.0961257 	0.500000	0.0926131 	0.500000	0.278466  	0.500000	0.290425  	0.500000	0.277499
0.600000	15.5838   	0.600000	15.3515   	0.600000	15.471    	0.600000	15.471    	0.600000	0.113405  	0.600000	0.106851  	0.600000	0.309889  	0.600000	0.32394   	0.600000	0.308909
0.700000	18.5737   	0.700000	18.2963   	0.700000	18.383    	0.700000	18.383    	0.700000	0.133157  	0.700000	0.122772  	0.700000	0.340578  	0.700000	0.356789  	0.700000	0.339609
0.800000	21.775    	0.800000	21.4492   	0.800000	21.5004   	0.800000	21.5004   	0.800000	0.155146  	0.800000	0.14017   	0.800000	0.371235  	0.800000	0.389615  	0.800000	0.370319
0.900000	25.1812   	0.900000	24.804    	0.900000	24.8176   	0.900000	24.8176   	0.900000	0.179173  	0.900000	0.158872  	0.900000	0.401915  	0.900000	0.422486  	0.900000	0.401075
1.000000	28.7863   	1.000000	28.3547   	1.000000	28.3292   	1.000000	28.3292   	1.000000	0.205082  	1.000000	0.178741  	1.000000	0.433186  	1.000000	0.45592   	1.000000	0.432457
1.250000	38.6346   	1.250000	38.0543   	1.250000	37.927    	1.250000	37.927    	1.250000	0.277346  	1.250000	0.232894  	1.250000	0.513163  	1.250000	0.541131  	1.250000	0.512877
1.500000	49.6229   	1.500000	48.8767   	1.500000	48.6459   	1.500000	48.6459   	1.500000	0.359389  	1.500000	0.292684  	1.500000	0.597226  	1.500000	0.62996   	1.500000	0.597596
1.750000	61.6998   	1.750000	60.7711   	1.750000	60.4387   	1.750000	60.4387   	1.750000	0.450514  	1.750000	0.357529  	1.750000	0.687785  	1.750000	0.72454   	1.750000	0.689019
