*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	0.147831  	4.500000	0.13393   	4.500000	0.136707  	4.500000	0.136707  	4.500000	0.13385   	4.500000	7.99451e-05
5.000000	0.136352  	5.000000	0.1241    	5.000000	0.126411  	5.000000	0.126411  	5.000000	0.124027  	5.000000	7.28073e-05
5.500000	0.126642  	5.500000	0.115766  	5.500000	0.117697  	5.500000	0.117697  	5.500000	0.115699  	5.500000	6.6893e-05
6.000000	0.118315  	6.000000	0.108603  	6.000000	0.110227  	6.000000	0.110227  	6.000000	0.108541  	6.000000	6.19082e-05
6.500000	0.111091  	6.500000	0.102376  	6.500000	0.10375   	6.500000	0.10375   	6.500000	0.102318  	6.500000	5.76466e-05
7.000000	0.10476   	7.000000	0.0969082 	7.000000	0.0980774 	7.000000	0.0980774 	7.000000	0.0968542 	7.000000	5.39595e-05
7.500000	0.0991647 	7.500000	0.0920652 	7.500000	0.0930658 	7.500000	0.0930658 	7.500000	0.0920145 	7.500000	5.07362e-05
8.000000	0.0941808 	8.000000	0.0877426 	8.000000	0.0886028 	8.000000	0.0886028 	8.000000	0.0876947 	8.000000	4.78931e-05
8.500000	0.0897119 	8.500000	0.0838582 	8.500000	0.0846003 	8.500000	0.0846003 	8.500000	0.0838128 	8.500000	4.53659e-05
9.000000	0.0856807 	9.000000	0.0803464 	9.000000	0.0809883 	9.000000	0.0809883 	9.000000	0.0803033 	9.000000	4.31037e-05
9.500000	0.0820249 	9.500000	0.0771541 	9.500000	0.0777102 	9.500000	0.0777102 	9.500000	0.0771131 	9.500000	4.10665e-05
10.000000	0.0786935 	10.000000	0.0745724 	10.000000	0.0747201 	10.000000	0.0747201 	10.000000	0.0745332 	10.000000	3.92217e-05
11.000000	0.0728424 	11.000000	0.0693691 	11.000000	0.0693368 	11.000000	0.0693493 	11.000000	0.0693331 	11.000000	3.60084e-05
12.000000	0.0678673 	12.000000	0.064891  	12.000000	0.0647399 	12.000000	0.0647605 	12.000000	0.0648577 	12.000000	3.33025e-05
13.000000	0.063582  	13.000000	0.0609957 	13.000000	0.0607621 	13.000000	0.0607874 	13.000000	0.0609648 	13.000000	3.09911e-05
14.000000	0.0598503 	14.000000	0.0575756 	14.000000	0.0572813 	14.000000	0.0573086 	14.000000	0.0575466 	14.000000	2.89927e-05
15.000000	0.0565698 	15.000000	0.054548  	15.000000	0.0542061 	15.000000	0.0542333 	15.000000	0.0545207 	15.000000	2.72468e-05
16.000000	0.0536619 	16.000000	0.0518482 	16.000000	0.0514655 	16.000000	0.0514922 	16.000000	0.0518224 	16.000000	2.57079e-05
17.000000	0.0510655 	17.000000	0.0494251 	17.000000	0.0490052 	17.000000	0.0490314 	17.000000	0.0494008 	17.000000	2.43406e-05
18.000000	0.0487324 	18.000000	0.0472378 	18.000000	0.0467838 	18.000000	0.0468082 	18.000000	0.0472147 	18.000000	2.31175e-05
19.000000	0.0466237 	19.000000	0.045253  	19.000000	0.0447662 	19.000000	0.0447886 	19.000000	0.045231  	19.000000	2.20165e-05
20.000000	0.044708  	20.000000	0.0434435 	20.000000	0.0429232 	20.000000	0.0429447 	20.000000	0.0434225 	20.000000	2.10199e-05
21.000000	0.0429595 	21.000000	0.0417868 	21.000000	0.0412331 	21.000000	0.0412539 	21.000000	0.0417667 	21.000000	2.01134e-05
22.000000	0.0413569 	22.000000	0.040264  	22.000000	0.039679  	22.000000	0.0396973 	22.000000	0.0402447 	22.000000	1.92852e-05
23.000000	0.0398823 	23.000000	0.0388592 	23.000000	0.0382444 	23.000000	0.0382589 	23.000000	0.0388407 	23.000000	1.85252e-05
24.000000	0.0385207 	24.000000	0.0375592 	24.000000	0.0369138 	24.000000	0.0369256 	24.000000	0.0375414 	24.000000	1.78255e-05
25.000000	0.0372593 	25.000000	0.0363524 	25.000000	0.0356756 	25.000000	0.0356859 	25.000000	0.0363352 	25.000000	1.71788e-05
27.000000	0.0349954 	27.000000	0.0341806 	27.000000	0.0334427 	27.000000	0.0334498 	27.000000	0.0341646 	27.000000	1.60222e-05
29.000000	0.0330203 	29.000000	0.03228   	29.000000	0.0314846 	29.000000	0.0314877 	29.000000	0.032265  	29.000000	1.50174e-05
31.000000	0.0312811 	31.000000	0.0306022 	31.000000	0.0298148 	31.000000	0.0298139 	31.000000	0.0305881 	31.000000	1.4136e-05
33.000000	0.0297374 	33.000000	0.0291098 	33.000000	0.0283867 	33.000000	0.0283822 	33.000000	0.0290964 	33.000000	1.33563e-05
35.000000	0.0283572 	35.000000	0.0277731 	35.000000	0.0271064 	35.000000	0.0270989 	35.000000	0.0277604 	35.000000	1.26614e-05
38.000000	0.0265401 	38.000000	0.0260101 	38.000000	0.0254158 	38.000000	0.0254044 	38.000000	0.0259983 	38.000000	1.17498e-05
41.000000	0.0249704 	41.000000	0.0244845 	41.000000	0.0239506 	41.000000	0.0239362 	41.000000	0.0244735 	41.000000	1.09654e-05
44.000000	0.0236    	44.000000	0.0231509 	44.000000	0.0226677 	44.000000	0.0226508 	44.000000	0.0231406 	44.000000	1.02831e-05
47.000000	0.0223924 	47.000000	0.0219747 	47.000000	0.0215352 	47.000000	0.0215156 	47.000000	0.021965  	47.000000	9.68374e-06
