 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    3     13      0.0649204    0.000389236       -5.93656      0.0670364
    3     14      0.0636812    0.000567019       -5.84873      0.0987737
