* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      2   11      0.0277165  -1.69249   36.0796   61.0645   0.0276954   -1.6912   36.1071   61.0645   0.0276499  -1.68843   36.1665   61.0645
      2   12       0.027362  -2.20379   36.5471    80.542   0.0273397  -2.20199   36.5768    80.542   0.0273877  -2.20586   36.5127    80.542
      2   13      0.0269804  -1.99752   37.0639   74.0359    0.026984  -1.99778    37.059   74.0359   0.0269996  -1.99894   37.0375   74.0359
      2   14      0.0270959   -2.2703   36.9059   83.7877    0.027085  -2.26939   36.9209   83.7877   0.0270785  -2.26885   36.9296   83.7877
      2   15       0.027425   -1.8904   36.4631   68.9298    0.027414  -1.88964   36.4777   68.9298   0.0274017   -1.8888   36.4941   68.9298
      3    0      0.0151499  -1.51628   66.0068   100.085   0.0152091   -1.5222   65.7499   100.085   0.0152251   -1.5238   65.6812   100.085
      3    1      0.0151637  -1.35365   65.9469   89.2691   0.0152127  -1.35802   65.7345   89.2691   0.0152494   -1.3613   65.5762   89.2691
      3    2      0.0151661  -1.78061   65.9367   117.408   0.0152063  -1.78534   65.7621   117.408   0.0152459  -1.78998   65.5916   117.408
      3    3      0.0151699  -1.13436   65.9201    74.777   0.0152098  -1.13734   65.7473    74.777   0.0152531  -1.14058   65.5603    74.777
      3    4      0.0152027  -1.61484   65.7779   106.221   0.0152651  -1.62147   65.5088   106.221   0.0153071  -1.62594    65.329   106.221
      3    5       0.015189  -1.64255   65.8369   108.141    0.015248  -1.64893   65.5824   108.141   0.0152642  -1.65068   65.5129   108.141
      3    6      0.0151989  -1.48532   65.7943   97.7255    0.015252  -1.49051   65.5653   97.7255   0.0152636  -1.49165   65.5152   97.7255
      3    7      0.0150573  -2.11959    66.413   140.768   0.0150959  -2.12503   66.2431   140.768   0.0151379  -2.13094   66.0593   140.768
      3    8      0.0150907  -1.71806   66.2658   113.849   0.0151408  -1.72375   66.0469   113.849   0.0151695  -1.72702   65.9219   113.849
      3    9      0.0151638   -1.7935   65.9466   118.275   0.0152196   -1.8001   65.7047   118.275   0.0152351  -1.80193   65.6381   118.275
      3   10      0.0150677  -1.71807    66.367   114.023    0.015118   -1.7238   66.1463   114.023   0.0151646  -1.72912   65.9429   114.023
      3   11      0.0154536  -1.57004   64.7099   101.597   0.0155084  -1.57561   64.4812   101.597   0.0155499  -1.57983   64.3092   101.597
      3   12      0.0151203  -1.58179   66.1363   104.613   0.0151722  -1.58722   65.9099   104.613   0.0152146  -1.59165   65.7263   104.613
      3   13      0.0152402  -1.65371    65.616    108.51   0.0152866  -1.65875   65.4168    108.51   0.0153125  -1.66157    65.306    108.51
      3   14      0.0155817  -1.42909   64.1779   91.7159   0.0156309   -1.4336   63.9758   91.7159   0.0156669   -1.4369   63.8289   91.7159
      3   15      0.0152363  -1.50598   65.6325   98.8412   0.0152885  -1.51113   65.4086   98.8412   0.0153072  -1.51299   65.3286   98.8412
