* Calculate the alpha peak energies, changing the thickness of the dead layer.
* AlThickness = 0.05 + 0.50 * i (um), i=0,1,2,...
* Thres alpha peaks: E1=5.14718, E2=5.48038, E3=5.79521; E(i) = energy after mylar.
*       SSDNum  CHNum E(i=0)    E(i=1)    E(i=2)    E(i=3)    E(i=4)    E(i=5)    E(i=6)    E(i=7)    E(i=8)    E(i=9)
         1        13   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         1        14   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         1        15   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         0   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         1   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         2   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         3   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         4   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         5   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         6   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         7   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         8   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2         9   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2        10   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2        11   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2        12   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2        13   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2        14   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         2        15   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         0   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         1   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         2   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         3   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         4   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         5   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         6   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         7   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         8   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3         9   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3        10   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3        11   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3        12   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3        13   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3        14   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
         3        15   5.25724   5.17724   5.09645   5.01487   4.93241   4.84911   4.76497   4.67985   4.59371   4.50662
